,id,name,path,transfer_ratio_1,form_1,ict_1,gws_until_return_1,availability_1,upcoming_fixture_1,later_fixtures_1,transfer_ratio_2,form_2,ict_2,gws_until_return_2,availability_2,upcoming_fixture_2,later_fixtures_2,transfer_ratio_3,form_3,ict_3,gws_until_return_3,availability_3,upcoming_fixture_3,later_fixtures_3,transfer_ratio_4,form_4,ict_4,gws_until_return_4,availability_4,upcoming_fixture_4,later_fixtures_4,transfer_ratio_5,form_5,ict_5,gws_until_return_5,availability_5,upcoming_fixture_5,later_fixtures_5,transfer_ratio_6,form_6,ict_6,gws_until_return_6,availability_6,upcoming_fixture_6,later_fixtures_6,transfer_ratio_7,form_7,ict_7,gws_until_return_7,availability_7,upcoming_fixture_7,later_fixtures_7,transfer_ratio_8,form_8,ict_8,gws_until_return_8,availability_8,upcoming_fixture_8,later_fixtures_8,transfer_ratio_9,form_9,ict_9,gws_until_return_9,availability_9,upcoming_fixture_9,later_fixtures_9,transfer_ratio_10,form_10,ict_10,gws_until_return_10,availability_10,upcoming_fixture_10,later_fixtures_10,transfer_ratio_11,form_11,ict_11,gws_until_return_11,availability_11,upcoming_fixture_11,later_fixtures_11,transfer_ratio_12,form_12,ict_12,gws_until_return_12,availability_12,upcoming_fixture_12,later_fixtures_12,transfer_ratio_13,form_13,ict_13,gws_until_return_13,availability_13,upcoming_fixture_13,later_fixtures_13,transfer_ratio_14,form_14,ict_14,gws_until_return_14,availability_14,upcoming_fixture_14,later_fixtures_14,transfer_ratio_15,form_15,ict_15,gws_until_return_15,availability_15,upcoming_fixture_15,later_fixtures_15,transfer_ratio_16,form_16,ict_16,gws_until_return_16,availability_16,upcoming_fixture_16,later_fixtures_16,transfer_ratio_17,form_17,ict_17,gws_until_return_17,availability_17,upcoming_fixture_17,later_fixtures_17,transfer_ratio_18,form_18,ict_18,gws_until_return_18,availability_18,upcoming_fixture_18,later_fixtures_18,transfer_ratio_19,form_19,ict_19,gws_until_return_19,availability_19,upcoming_fixture_19,later_fixtures_19,transfer_ratio_20,form_20,ict_20,gws_until_return_20,availability_20,upcoming_fixture_20,later_fixtures_20,transfer_ratio_21,form_21,ict_21,gws_until_return_21,availability_21,upcoming_fixture_21,later_fixtures_21,transfer_ratio_22,form_22,ict_22,gws_until_return_22,availability_22,upcoming_fixture_22,later_fixtures_22,transfer_ratio_23,form_23,ict_23,gws_until_return_23,availability_23,upcoming_fixture_23,later_fixtures_23,transfer_ratio_24,form_24,ict_24,gws_until_return_24,availability_24,upcoming_fixture_24,later_fixtures_24,transfer_ratio_25,form_25,ict_25,gws_until_return_25,availability_25,upcoming_fixture_25,later_fixtures_25,transfer_ratio_26,form_26,ict_26,gws_until_return_26,availability_26,upcoming_fixture_26,later_fixtures_26,transfer_ratio_27,form_27,ict_27,gws_until_return_27,availability_27,upcoming_fixture_27,later_fixtures_27,transfer_ratio_28,form_28,ict_28,gws_until_return_28,availability_28,upcoming_fixture_28,later_fixtures_28,transfer_ratio_29,form_29,ict_29,gws_until_return_29,availability_29,upcoming_fixture_29,later_fixtures_29,transfer_ratio_30,form_30,ict_30,gws_until_return_30,availability_30,upcoming_fixture_30,later_fixtures_30,transfer_ratio_31,form_31,ict_31,gws_until_return_31,availability_31,upcoming_fixture_31,later_fixtures_31,transfer_ratio_32,form_32,ict_32,gws_until_return_32,availability_32,upcoming_fixture_32,later_fixtures_32,transfer_ratio_33,form_33,ict_33,gws_until_return_33,availability_33,upcoming_fixture_33,later_fixtures_33,transfer_ratio_34,form_34,ict_34,gws_until_return_34,availability_34,upcoming_fixture_34,later_fixtures_34,transfer_ratio_35,form_35,ict_35,gws_until_return_35,availability_35,upcoming_fixture_35,later_fixtures_35,transfer_ratio_36,form_36,ict_36,gws_until_return_36,availability_36,upcoming_fixture_36,later_fixtures_36,transfer_ratio_37,form_37,ict_37,gws_until_return_37,availability_37,upcoming_fixture_37,later_fixtures_37,transfer_ratio_38,form_38,ict_38,gws_until_return_38,availability_38,upcoming_fixture_38,later_fixtures_38
0,1,Bernd Leno,../data/Fantasy-Premier-League/data/2021-22/players/Bernd_Leno_1,0.0,0.0,0.0,0,100,2.0,3.25,0.08455101383971676,1.0,1.2,0,100,4.0,3.0,0.20749789046490136,1.528849054899926,1.8346188658799114,0,100,5.0,2.25,0.5511565558950059,1.3318553858979791,2.7529611992899587,26,0,2.0,2.25,0.14397897942730883,0.939175308096761,1.9412867266954366,25,0,2.0,2.25,0.11207774571380072,0.7056464224072172,1.4585796940672109,24,0,3.0,2.25,0.1336817986538737,0.4891076389600286,1.1319845546825535,23,0,2.0,2.25,0.16828338818638489,0.1566416601363822,0.6735591385864433,22,0,2.0,3.0,0.16530797101449277,0.0,0.0,21,0,2.0,3.0,0.18295331161780673,0.0,0.0,20,0,3.0,3.25,0.15846203346203347,0.0,0.0,19,0,2.0,3.25,0.19917663203293473,0.0,0.0,18,0,5.0,2.5,0.18756268806419257,0.0,0.0,17,0,2.0,2.75,0.1548480463096961,0.0,0.0,16,0,4.0,2.25,0.19555555555555557,0.0,0.0,15,0,2.0,2.25,0.11331444759206799,0.0,0.0,14,0,2.0,3.75,0.04588528678304239,0.0,0.0,13,0,3.0,4.25,0.09778357235984354,0.0,0.0,12,0,2.0,5.75,0.31176798661461236,0.0,0.0,11,0,2.0,5.75,0.0,0.0,0.0,10,0,8.0,4.5,0.3538338658146965,0.0,0.0,9,0,5.0,5.25,0.0,0.0,0.0,8,0,8.0,3.25,0.2810675562969141,0.0,0.0,7,0,2.0,4.75,0.3097949886104784,0.0,0.0,6,0,3.0,4.5,0.0,0.0,0.0,5,0,8.0,2.75,0.17374136229022705,0.0,0.0,4,0,0.0,3.25,0.0,0.0,0.0,3,0,8.0,1.75,0.39072847682119205,0.0,0.0,2,0,2.0,1.75,0.3783494105037513,0.0,0.0,1,0,1.0,2.0,0.3756476683937824,0.0,0.0,0,0,2.0,2.25,0.9121123626755667,1.8101951444610958,0.18101951444610956,0,0,2.0,2.5,0.224034198860038,1.576018755443852,0.1576018755443852,0,0,2.0,2.25,0.08730556949322629,1.1841367493778394,0.11841367493778393,0,0,2.0,2.5,0.11771177117711772,1.0549459121235853,0.10549459121235853,0,0,3.0,2.25,0.11444356748224152,0.9398499608182931,0.09398499608182932,0,0,3.0,3.5,0.15365079365079365,0.0,0.0,0,0,1.0,5.25,0.2529274004683841,0.0,0.0,0,0,3.0,6.5,0.3617021276595745,0.0,0.0,0,0,2.0,8.0
1,2,Rúnar Alex Rúnarsson,../data/Fantasy-Premier-League/data/2021-22/players/Rúnar Alex_Rúnarsson_2,0.0,0.0,0.0,0,100,2.0,3.25,0.5255355690138299,0.0,0.0,0,0,4.0,3.0,0.39233064233064235,0.0,0.0,0,0,5.0,2.25,0.30192593617094843,0.0,0.0,0,0,2.0,2.25,0.0,0.0,0.0,0,0,2.0,2.25,0.0,0.0,0.0,0,0,3.0,2.25,0.0,0.0,0.0,0,0,2.0,2.25,0.0,0.0,0.0,0,0,2.0,3.0,0.0,0.0,0.0,0,0,2.0,3.0,0.0,0.0,0.0,0,0,3.0,3.25,0.0,0.0,0.0,0,0,2.0,3.25,0.0,0.0,0.0,0,0,5.0,2.5,0.0,0.0,0.0,0,0,2.0,2.75,0.0,0.0,0.0,0,0,4.0,2.25,0.0,0.0,0.0,0,0,2.0,2.25,0.0,0.0,0.0,0,0,2.0,3.75,0.0,0.0,0.0,0,0,3.0,4.25,0.0,0.0,0.0,0,0,2.0,5.75,0.0,0.0,0.0,0,0,2.0,5.75,0.0,0.0,0.0,0,0,8.0,4.5,0.0,0.0,0.0,0,0,5.0,5.25,0.0,0.0,0.0,0,0,8.0,3.25,0.0,0.0,0.0,0,0,2.0,4.75,0.0,0.0,0.0,0,0,3.0,4.5,0.0,0.0,0.0,0,0,8.0,2.75,0.0,0.0,0.0,0,0,0.0,3.25,0.0,0.0,0.0,0,0,8.0,1.75,0.0,0.0,0.0,0,0,2.0,1.75,0.0,0.0,0.0,0,0,1.0,2.0,0.0,0.0,0.0,0,0,2.0,2.25,0.0,0.0,0.0,0,0,2.0,2.5,0.0,0.0,0.0,0,0,2.0,2.25,0.0,0.0,0.0,0,0,2.0,2.5,0.0,0.0,0.0,0,0,3.0,2.25,0.0,0.0,0.0,0,0,3.0,3.5,0.0,0.0,0.0,0,0,1.0,5.25,0.0,0.0,0.0,0,0,3.0,6.5,0.0,0.0,0.0,0,0,2.0,8.0
2,3,Willian Borges Da Silva,../data/Fantasy-Premier-League/data/2021-22/players/Willian_Borges Da Silva_3,0.0,0.0,0.0,0,100,2.0,3.25,0.08193883439122908,0.0,0.0,0,0,4.0,3.0,0.025044722719141325,0.0,0.0,0,0,5.0,2.25,0.014204545454545454,0.0,0.0,0,0,2.0,2.25,0.0,0.0,0.0,0,0,2.0,2.25,0.0,0.0,0.0,0,0,3.0,2.25,0.0,0.0,0.0,0,0,2.0,2.25,0.0,0.0,0.0,0,0,2.0,3.0,0.0,0.0,0.0,0,0,2.0,3.0,0.0,0.0,0.0,0,0,3.0,3.25,0.0,0.0,0.0,0,0,2.0,3.25,0.0,0.0,0.0,0,0,5.0,2.5,0.0,0.0,0.0,0,0,2.0,2.75,0.0,0.0,0.0,0,0,4.0,2.25,0.0,0.0,0.0,0,0,2.0,2.25,0.0,0.0,0.0,0,0,2.0,3.75,0.0,0.0,0.0,0,0,3.0,4.25,0.0,0.0,0.0,0,0,2.0,5.75,0.0,0.0,0.0,0,0,2.0,5.75,0.0,0.0,0.0,0,0,8.0,4.5,0.0,0.0,0.0,0,0,5.0,5.25,0.0,0.0,0.0,0,0,8.0,3.25,0.0,0.0,0.0,0,0,2.0,4.75,0.0,0.0,0.0,0,0,3.0,4.5,0.0,0.0,0.0,0,0,8.0,2.75,0.0,0.0,0.0,0,0,0.0,3.25,0.0,0.0,0.0,0,0,8.0,1.75,0.0,0.0,0.0,0,0,2.0,1.75,0.0,0.0,0.0,0,0,1.0,2.0,0.0,0.0,0.0,0,0,2.0,2.25,0.0,0.0,0.0,0,0,2.0,2.5,0.0,0.0,0.0,0,0,2.0,2.25,0.0,0.0,0.0,0,0,2.0,2.5,0.0,0.0,0.0,0,0,3.0,2.25,0.0,0.0,0.0,0,0,3.0,3.5,0.0,0.0,0.0,0,0,1.0,5.25,0.0,0.0,0.0,0,0,3.0,6.5,0.0,0.0,0.0,0,0,2.0,8.0
3,4,Pierre-Emerick Aubameyang,../data/Fantasy-Premier-League/data/2021-22/players/Pierre-Emerick_Aubameyang_4,0.0,0.0,0.0,0,100,2.0,3.25,0.010569869880939217,0.0,0.0,0,0,4.0,3.0,0.3409847555633433,0.5288490548999261,1.3221226372498152,0,50,5.0,2.25,0.713921246610396,0.7043504620955224,0.8668879723647026,0,50,2.0,2.25,0.6404192981313888,3.1502138346865616,5.3581710947687355,0,100,2.0,2.25,0.1845067431241372,2.864209557526226,5.592359805707673,0,100,3.0,2.25,0.7215558508217906,4.292292575863191,7.89146787445022,0,100,2.0,2.25,0.6468608888191503,4.181752371662011,7.676231522366329,0,100,2.0,3.0,0.8917599024721014,5.823844198013976,9.087533176353437,0,100,2.0,3.0,0.7754084505329466,5.424407459149034,9.554218532512575,0,100,3.0,3.25,0.8225698521520649,5.050800215746092,9.39810162803002,0,100,2.0,3.25,0.10297149787750151,3.2742353221484617,7.759477856895319,0,100,5.0,2.5,0.5705819022949911,3.135214615111206,7.100660867502492,0,100,2.0,2.75,0.038983254306464196,1.7858451297740707,5.951199081276192,0,100,4.0,2.25,0.12963809772667886,1.2510022837406987,5.336144661687623,0,100,2.0,2.25,0.3103733842220862,1.0840657586120086,4.235587232483309,0,50,2.0,3.75,0.06348434765700953,1.1053446489501504,3.20131663367717,0,0,3.0,4.25,0.09664757737597324,0.7056464224072172,2.4333933226357045,0,0,2.0,5.75,0.3459258562288295,0.4891076389600286,1.6655203166650507,0,0,2.0,5.75,0.0,0.1566416601363822,0.29761915425912616,0,0,8.0,4.5,0.12614371111382214,0.0,0.0,0,0,5.0,5.25,0.0,0.0,0.0,0,0,8.0,3.25,0.027482499351827845,0.0,0.0,0,0,2.0,4.75,0.10038610038610038,0.0,0.0,0,0,3.0,4.5,0.0,0.0,0.0,0,0,8.0,2.75,0.0,0.0,0.0,0,0,0.0,3.25,0.0,0.0,0.0,0,0,8.0,1.75,0.0,0.0,0.0,0,0,2.0,1.75,0.0,0.0,0.0,0,0,1.0,2.0,0.0,0.0,0.0,0,0,2.0,2.25,0.0,0.0,0.0,0,0,2.0,2.5,0.0,0.0,0.0,0,0,2.0,2.25,0.0,0.0,0.0,0,0,2.0,2.5,0.0,0.0,0.0,0,0,3.0,2.25,0.0,0.0,0.0,0,0,3.0,3.5,0.0,0.0,0.0,0,0,1.0,5.25,0.0,0.0,0.0,0,0,3.0,6.5,0.0,0.0,0.0,0,0,2.0,8.0
4,5,Cédric Soares,../data/Fantasy-Premier-League/data/2021-22/players/Cédric_Soares_5,0.0,0.0,0.0,0,100,2.0,3.25,0.1375365141187926,0.0,0.0,0,0,4.0,3.0,0.3724188790560472,0.5288490548999261,2.009626408619719,0,100,5.0,2.25,0.48731642189586116,-0.04063969029956396,1.4472980045110928,0,100,2.0,2.25,0.27924850555081127,0.2661792623259506,1.7576733694846491,0,50,2.0,2.25,0.19748723989006675,0.19999295398846634,1.320622373953529,0,100,3.0,2.25,0.24391624221844935,0.17817346634542452,1.1765407801026508,0,100,2.0,2.25,0.23366641045349731,0.01918265855088203,0.5178816267863516,10,0,2.0,3.0,0.2607260726072607,0.1566416601363822,0.3916041503409555,9,0,2.0,3.0,0.3527272727272727,0.0,0.0,8,0,3.0,3.25,0.316894018887723,0.0,0.0,7,0,2.0,3.25,0.32909930715935337,0.0,0.0,6,0,5.0,2.5,0.31760204081632654,0.0,0.0,5,0,2.0,2.75,0.29904306220095694,0.0,0.0,4,0,4.0,2.25,0.2823061630218688,0.0,0.0,3,0,2.0,2.25,0.4337748344370861,0.0,0.0,2,0,2.0,3.75,0.30060120240480964,0.0,0.0,1,0,3.0,4.25,0.41371158392434987,0.0,0.0,0,0,2.0,5.75,0.631031220435194,0.24865313608253828,0.12432656804126914,0,50,2.0,5.75,0.0,0.2215247601975087,0.11076238009875435,4,0,8.0,4.5,0.06823027718550106,0.2626697925739753,0.13133489628698766,3,0,5.0,5.25,0.0,0.2258573037363051,0.11292865186815255,2,0,8.0,3.25,0.08681672025723473,0.282751405579725,0.1413757027898625,1,0,2.0,4.75,0.11455108359133127,0.0,0.0,0,0,3.0,4.5,0.0,2.309463933603886,1.0392587701217486,0,100,8.0,2.75,0.7764202810018326,2.309463933603886,1.0392587701217486,0,100,0.0,3.25,0.0,3.503749821419845,4.775654400046151,0,100,8.0,1.75,0.7738129496402878,3.503749821419845,4.775654400046151,0,100,2.0,1.75,0.8227948150490041,2.869446307662544,6.139125174406478,0,100,1.0,2.0,0.8847638301782761,3.783066328109244,6.443596650554921,0,100,2.0,2.25,0.7507413509060955,4.150214232107221,5.887385033025046,0,100,2.0,2.5,0.8928870292887029,3.2462711067598637,4.005362861755627,0,100,2.0,2.25,0.8310753081899183,2.687728751572429,5.048372540908374,0,100,2.0,2.5,0.23092251787598173,2.8918003716498886,5.782964328463432,0,50,3.0,2.25,0.42549113560134166,2.0967445368255757,4.702929372247531,0,100,3.0,3.5,0.26062058862698095,1.418880885093815,3.5727605334228922,0,100,1.0,5.25,0.38514957264957267,1.8704867157486473,4.959820029538518,0,100,3.0,6.5,0.5392483878140983,1.5268623631361258,3.4981599243693333,0,100,2.0,8.0
5,6,Alexandre Lacazette,../data/Fantasy-Premier-League/data/2021-22/players/Alexandre_Lacazette_6,0.0,0.0,0.0,0,100,2.0,3.25,0.007199259642080213,0.0,0.0,1,0,4.0,3.0,0.05482191210164549,0.0,0.0,0,0,5.0,2.25,0.4625533287921701,0.37249507619754324,0.037249507619754325,0,50,2.0,2.25,0.20265757617921246,0.2626697925739753,0.026266979257397537,2,0,2.0,2.25,0.22165908150599917,0.19735612489630658,0.01973561248963066,1,0,3.0,2.25,0.18553565393714092,0.17582431868726422,0.017582431868726423,0,0,2.0,2.25,0.3496644295302013,0.4052947962189205,0.0902601068383997,0,50,2.0,3.0,0.7532567895782734,1.4647904406102,3.3238135107405036,0,50,2.0,3.0,0.5625319475208724,1.8022861980489266,4.030389681211171,0,100,3.0,3.25,0.7161159811193527,1.8543075996463527,3.889052763896128,0,50,2.0,3.25,0.4742744063324538,2.1493065357279018,4.7080178025478965,0,100,5.0,2.5,0.5988710689006361,2.27256885551284,4.973056818077331,0,100,2.0,2.75,0.14832291799515368,1.5755225452301975,2.8012831630105026,0,50,4.0,2.25,0.2740598164050933,1.3731804435835708,1.8955866059157984,0,100,2.0,2.25,0.5318370949438911,1.5811191149061847,1.7202359611329587,0,100,2.0,3.75,0.9487958528588839,2.8700852368291203,2.649964634960409,0,100,3.0,4.25,0.97993648721823,3.023810958246435,5.282011628190485,0,100,2.0,5.75,0.760540830926508,3.7976231327902736,7.453606970328157,0,100,2.0,5.75,0.0,5.978930223667998,9.126940256212634,0,100,8.0,4.5,0.21536953485873886,6.717959182465005,10.673549430434532,0,100,5.0,5.25,0.0,5.16043415958759,8.69952607260089,0,100,8.0,3.25,0.6926637006957093,5.704653713563527,7.465082651492909,0,100,2.0,4.75,0.2684575049771472,4.339289449053858,6.545150614577884,0,100,3.0,4.5,0.0,3.154731966801943,8.706762946806002,0,100,8.0,2.75,0.8984818943163362,3.154731966801943,8.706762946806002,0,100,0.0,3.25,0.0,6.151100146015338,16.312523623193023,0,100,8.0,1.75,0.5712989068009671,6.151100146015338,16.312523623193023,0,100,2.0,1.75,0.9161787718299369,7.875196854462033,14.799662753744405,0,100,1.0,2.0,0.8888801000963571,8.544345869452354,14.181115060017854,0,100,2.0,2.25,0.4311272560525618,6.569922016692908,11.04914104739514,0,100,2.0,2.5,0.47038123167155427,4.654960004146653,6.158996068873869,0,100,2.0,2.25,0.12027748531604572,3.994795872941878,5.149713967001687,0,100,2.0,2.5,0.013596633214632567,2.691196824735755,3.513324294475047,0,50,3.0,2.25,0.023523654531177093,1.2811689676374145,1.3437523763062982,0,25,3.0,3.5,0.06819258665305973,0.8622880825435995,0.666850223502381,0,75,1.0,5.25,0.06405238597019419,0.9864139111251052,0.32894748628640263,0,50,3.0,6.5,0.2092620523993073,0.8483443166139378,0.04973062721650766,0,50,2.0,8.0
6,7,Granit Xhaka,../data/Fantasy-Premier-League/data/2021-22/players/Granit_Xhaka_7,0.0,0.0,0.0,0,100,2.0,3.25,0.3590201465201465,2.0,4.5,0,100,4.0,3.0,0.3004153686396677,2.0,4.658654716469978,0,100,5.0,2.25,0.018894942721430566,0.5100196952098268,2.923328772880449,0,50,2.0,2.25,0.04342723004694836,0.3596470829009335,2.0614236575594926,0,25,2.0,2.25,0.32762312633832974,0.2702197078546797,1.5488442003125882,0,75,3.0,2.25,0.1012401352874859,0.4589409550633125,1.0253984183454268,8,0,2.0,2.25,0.025925925925925925,0.12976620012225298,0.2436772362172596,0,100,2.0,3.0,0.04623878536922015,0.39471224979261316,0.21709173738593723,0,100,2.0,3.0,0.04043126684636118,0.35164863737452845,0.19340675055599066,0,100,3.0,3.25,0.05731707317073171,0.3132833202727644,0.17230582615002044,4,0,2.0,3.25,0.05507246376811594,0.0,0.0,3,0,5.0,2.5,0.11040339702760085,0.0,0.0,2,0,2.0,2.75,0.14130434782608695,0.0,0.0,1,0,4.0,2.25,0.09202453987730061,0.0,0.0,0,0,2.0,2.25,0.7724867724867724,0.24865313608253828,0.39784501773206127,0,100,2.0,3.75,0.6723525230987918,0.9674841684451234,0.5533621251820445,0,100,3.0,4.25,0.768068599428338,1.6078898137364475,2.1838309333533577,0,100,2.0,5.75,0.715748268593797,2.427079518298863,4.1834504039025715,0,100,2.0,5.75,0.0,2.659588303842206,4.970296282653177,0,100,8.0,4.5,0.47962226640159045,2.967832919172393,5.596280256383305,0,100,5.0,5.25,0.0,2.333520127749016,4.924094042390985,0,100,8.0,3.25,0.029141104294478526,2.1656319386085476,4.45154795760511,0,100,2.0,4.75,0.39378238341968913,0.8473221018630727,1.561589251133027,0,75,3.0,4.5,0.0,1.041994245927473,0.9490685934221726,0,100,8.0,2.75,0.6861989205859677,1.041994245927473,0.9490685934221726,0,100,0.0,3.25,0.0,2.2342389339423554,6.3611582362848065,0,100,8.0,1.75,0.4910941475826972,2.2342389339423554,6.3611582362848065,0,100,2.0,1.75,0.68,2.6549600041466523,6.488618763554739,0,100,1.0,2.0,0.6788793103448276,3.6990778362542978,9.524276866131444,0,100,2.0,2.25,0.5558659217877095,3.186467428046133,7.495567977284241,0,100,2.0,2.5,0.5437352245862884,2.407199671093448,4.998137666583078,0,100,2.0,2.25,0.8582788980403294,3.5492138762769754,4.973735428019373,0,100,2.0,2.5,0.4656985478217326,3.8774989286654598,6.559611070750877,0,100,3.0,2.25,0.8535106920356963,4.497271506601978,6.136731676044977,0,100,3.0,3.5,0.8053586447194521,4.224815984080095,6.667841262863873,0,100,1.0,5.25,0.3877748248369171,4.370290698620511,7.823279708561693,0,100,3.0,6.5,0.4130371236480561,3.165276537824056,6.957309245741693,0,100,2.0,8.0
7,8,Pablo Marí,../data/Fantasy-Premier-League/data/2021-22/players/Pablo_Marí_8,0.0,0.0,0.0,0,100,2.0,3.25,0.3082788671023965,1.0,2.5,0,100,4.0,3.0,0.40372189196174724,0.471150945100074,4.033662259209786,0,0,5.0,2.25,0.3575517393218846,0.2956495379044774,2.5311429286102816,0,0,2.0,2.25,0.14176049129989765,0.20848115252609864,1.7848686614063014,0,0,2.0,2.25,0.1282051282051282,0.1566416601363822,1.3410554712521823,0,0,3.0,2.25,0.15995115995115994,0.0,0.8458649647364639,0,0,2.0,2.25,0.16566265060240964,0.0,0.0,0,0,2.0,3.0,0.1958997722095672,0.0,0.0,0,0,2.0,3.0,0.09603658536585366,0.0,0.0,0,0,3.0,3.25,0.0405727923627685,0.0,0.0,0,0,2.0,3.25,0.3219814241486068,0.0,0.0,0,0,5.0,2.5,0.2698412698412698,0.0,0.0,0,0,2.0,2.75,0.3045977011494253,0.0,0.0,0,0,4.0,2.25,0.23157894736842105,0.0,0.0,0,0,2.0,2.25,0.3983739837398374,0.0,0.0,0,0,2.0,3.75,0.29347826086956524,0.0,0.0,0,0,3.0,4.25,0.35064935064935066,0.0,0.0,0,0,2.0,5.75,0.05058365758754864,0.0,0.0,0,0,2.0,5.75,0.0,0.0,0.0,0,0,8.0,4.5,0.574468085106383,0.0,0.0,0,0,5.0,5.25,0.0,0.0,0.0,0,0,8.0,3.25,0.4375,0.0,0.0,0,0,2.0,4.75,0.059574468085106386,0.0,0.0,0,0,3.0,4.5,0.0,0.0,0.0,0,0,8.0,2.75,0.0,0.0,0.0,0,0,0.0,3.25,0.0,0.0,0.0,0,0,8.0,1.75,0.0,0.0,0.0,0,0,2.0,1.75,0.0,0.0,0.0,0,0,1.0,2.0,0.0,0.0,0.0,0,0,2.0,2.25,0.0,0.0,0.0,0,0,2.0,2.5,0.0,0.0,0.0,0,0,2.0,2.25,0.0,0.0,0.0,0,0,2.0,2.5,0.0,0.0,0.0,0,0,3.0,2.25,0.0,0.0,0.0,0,0,3.0,3.5,0.0,0.0,0.0,0,0,1.0,5.25,0.0,0.0,0.0,0,0,3.0,6.5,0.0,0.0,0.0,0,0,2.0,8.0
8,9,Héctor Bellerín,../data/Fantasy-Premier-League/data/2021-22/players/Héctor_Bellerín_9,0.0,0.0,0.0,0,100,2.0,3.25,0.09352252833317977,0.0,0.0,0,0,4.0,3.0,0.050230677518013585,0.0,0.0,0,0,5.0,2.25,0.04418632499101904,0.0,0.0,0,0,2.0,2.25,0.0,0.0,0.0,0,0,2.0,2.25,0.0,0.0,0.0,0,0,3.0,2.25,0.0,0.0,0.0,0,0,2.0,2.25,0.0,0.0,0.0,0,0,2.0,3.0,0.0,0.0,0.0,0,0,2.0,3.0,0.0,0.0,0.0,0,0,3.0,3.25,0.0,0.0,0.0,0,0,2.0,3.25,0.0,0.0,0.0,0,0,5.0,2.5,0.0,0.0,0.0,0,0,2.0,2.75,0.0,0.0,0.0,0,0,4.0,2.25,0.0,0.0,0.0,0,0,2.0,2.25,0.0,0.0,0.0,0,0,2.0,3.75,0.0,0.0,0.0,0,0,3.0,4.25,0.0,0.0,0.0,0,0,2.0,5.75,0.0,0.0,0.0,0,0,2.0,5.75,0.0,0.0,0.0,0,0,8.0,4.5,0.0,0.0,0.0,0,0,5.0,5.25,0.0,0.0,0.0,0,0,8.0,3.25,0.0,0.0,0.0,0,0,2.0,4.75,0.0,0.0,0.0,0,0,3.0,4.5,0.0,0.0,0.0,0,0,8.0,2.75,0.0,0.0,0.0,0,0,0.0,3.25,0.0,0.0,0.0,0,0,8.0,1.75,0.0,0.0,0.0,0,0,2.0,1.75,0.0,0.0,0.0,0,0,1.0,2.0,0.0,0.0,0.0,0,0,2.0,2.25,0.0,0.0,0.0,0,0,2.0,2.5,0.0,0.0,0.0,0,0,2.0,2.25,0.0,0.0,0.0,0,0,2.0,2.5,0.0,0.0,0.0,0,0,3.0,2.25,0.0,0.0,0.0,0,0,3.0,3.5,0.0,0.0,0.0,0,0,1.0,5.25,0.0,0.0,0.0,0,0,3.0,6.5,0.0,0.0,0.0,0,0,2.0,8.0
9,11,Sead Kolasinac,../data/Fantasy-Premier-League/data/2021-22/players/Sead_Kolasinac_11,0.0,0.0,0.0,0,100,2.0,3.25,0.11477632173520108,0.0,0.0,1,0,4.0,3.0,0.1986827661909989,0.0,0.0,0,0,5.0,2.25,0.28343831048536494,-0.37249507619754324,0.1489980304790173,6,0,2.0,2.25,0.25837018319646243,-0.2626697925739753,0.10506791702959015,0,100,2.0,2.25,0.424860853432282,-0.19735612489630658,0.07894244995852263,0,100,3.0,2.25,0.2905982905982906,-0.17582431868726422,0.07032972747490569,0,100,2.0,2.25,0.3116438356164384,-0.1566416601363822,0.06265666405455288,2,0,2.0,3.0,0.391025641025641,0.0,0.0,0,25,2.0,3.0,0.4634146341463415,0.0,0.0,0,0,3.0,3.25,0.39759036144578314,0.24865313608253828,0.0,0,50,2.0,3.25,0.19473684210526315,0.2215247601975087,0.0,0,0,5.0,2.5,0.039603960396039604,0.19735612489630658,0.0,0,0,2.0,2.75,0.04,0.17582431868726422,0.0,0,0,4.0,2.25,0.06374501992031872,0.1566416601363822,0.0,0,0,2.0,2.25,0.11214953271028037,0.0,0.0,0,0,2.0,3.75,0.07258064516129033,0.0,0.0,0,0,3.0,4.25,0.1885245901639344,0.0,0.0,0,0,2.0,5.75,0.10852713178294573,0.0,0.0,0,0,2.0,5.75,0.0,0.0,0.0,0,0,8.0,4.5,0.29347826086956524,0.0,0.0,0,0,5.0,5.25,0.0,0.0,0.0,0,0,8.0,3.25,0.10465116279069768,0.0,0.0,0,0,2.0,4.75,0.0,0.0,0.0,0,0,3.0,4.5,0.0,0.0,0.0,0,0,8.0,2.75,0.0,0.0,0.0,0,0,0.0,3.25,0.0,0.0,0.0,0,0,8.0,1.75,0.0,0.0,0.0,0,0,2.0,1.75,0.0,0.0,0.0,0,0,1.0,2.0,0.0,0.0,0.0,0,0,2.0,2.25,0.0,0.0,0.0,0,0,2.0,2.5,0.0,0.0,0.0,0,0,2.0,2.25,0.0,0.0,0.0,0,0,2.0,2.5,0.0,0.0,0.0,0,0,3.0,2.25,0.0,0.0,0.0,0,0,3.0,3.5,0.0,0.0,0.0,0,0,1.0,5.25,0.0,0.0,0.0,0,0,3.0,6.5,0.0,0.0,0.0,0,0,2.0,8.0
